,lat,lon,diff_stationarity_pval,diff_acf_lag,diff_acf,diff_acf_pval,orig_stationarity_pval,orig_acf_lag,orig_acf,orig_acf_pval
1864,11.25,121.25,2.489735872010167e-13,12,0.1796284516108018,1.1167815234147733e-14,0.00680039484130635,12,0.5355377813839635,4.711145078526104e-83
1865,11.25,121.5,5.284802798075245e-13,12,0.1691426642586854,1.0826115082188631e-13,0.008569639077547696,12,0.5018513206672324,3.0084187582735683e-71
1866,11.25,121.75,2.2315546054724783e-25,12,0.133531557988652,4.624380324723809e-15,0.02034377673369807,12,0.40353511542174786,4.212426263554314e-46
1867,11.25,122.0,0.00012680726848265814,12,0.09036171071046659,4.969019591410457e-16,0.013513676571512827,12,0.2967390189056252,1.368413322634147e-32
1868,11.25,122.25,5.86261280291985e-12,12,0.0670160073744267,9.260670844181964e-10,0.039320061662266134,12,0.3650553237099141,3.0195285598577554e-41
1869,11.25,122.5,5.13973873683011e-27,12,0.14833659331000149,4.0252223908850714e-11,0.00299637772328773,12,0.5048725935652373,2.383831973549097e-73
1870,11.25,122.75,2.8281671204786518e-12,12,0.06920345815453213,5.101825644257187e-10,0.038178408082446796,12,0.3721324816233281,3.018352099716614e-41
1871,11.25,123.0,9.836633622495395e-12,12,0.018098579451198082,3.4070910648416943e-09,0.031072973453247103,12,0.30005725629333113,5.063570642106866e-30
1872,11.25,123.25,5.011555043430741e-12,12,0.016355150370916532,7.288231859214077e-09,0.02375952937861528,12,0.3489454553954346,5.962245379621663e-39
1873,11.25,123.5,4.166599973552637e-12,12,0.05860407090707484,5.887867645631069e-10,0.021570649390852518,12,0.42969672731878966,1.0843364281604964e-56
1874,11.25,123.75,0.00044831715033584403,12,0.10332069282668589,5.957190488355323e-13,0.0007757941381964681,12,0.5126859507128758,1.789004613045394e-80
1875,11.25,124.0,0.00035408676631468037,12,0.08771451521977969,1.966221937703453e-12,0.001084319920522619,12,0.5024478632211847,7.896047371279746e-77
1876,11.25,124.25,0.00039380101566672957,12,0.03801460348888319,1.209556775957169e-10,0.0008302356670809584,12,0.44286908579860207,3.034393048885969e-60
1877,11.25,124.5,6.609595203773016e-26,12,-0.025719180366966993,8.480046544970462e-09,8.592082269885895e-05,12,0.3418371595258911,4.215691552405592e-40
1878,11.25,124.75,7.083786633721718e-24,12,-0.0904459752354245,7.619681310269242e-08,4.833005920796335e-06,12,0.2767801966132002,2.0743652423736142e-32
1879,11.25,125.0,9.838421918900761e-23,12,-0.05099398577874448,1.2473566555068748e-11,6.405155647479363e-05,12,0.4403027929708251,2.421110928061694e-75
1880,11.25,125.25,2.2421121455517273e-25,12,0.019999762614551636,2.2559976555359994e-14,2.1728974794865327e-05,12,0.5255347583681595,5.049680357381434e-96
1881,11.25,125.5,5.02800971357385e-28,12,0.03624917122050769,3.0900678896561413e-13,2.5270744926149584e-05,12,0.5158267884172499,3.9154252857573244e-87
1882,11.25,125.75,1.398175660494417e-28,12,0.03039123734255103,4.552217011619768e-12,7.474342439657729e-05,12,0.5004406017469492,2.0809276412154077e-79
1883,11.25,126.0,2.468919817685486e-28,12,-0.0003463223580407737,3.9098643313772093e-10,7.338381486690347e-05,12,0.4533221779429554,4.029045736911533e-65
1884,11.25,126.25,4.0124324137981203e-28,12,-0.012430402137348417,1.5671000589021545e-09,6.745342726832298e-05,12,0.43716166389894734,2.0480580682082716e-61
1885,11.25,126.5,5.33137818054532e-28,12,-0.014858020835362723,2.953194024777518e-09,7.110946079868575e-05,12,0.43257928441749227,1.9807419526739008e-60
1886,11.25,126.75,6.086762784416858e-28,12,-0.013281617876296004,3.6176171157775918e-09,7.49891994210483e-05,12,0.43784998641767964,3.4147434335665076e-62
1887,11.25,127.0,7.513695772289728e-28,12,-0.010544279014987917,4.8220788605042835e-09,7.28003385441308e-05,12,0.4423509142947084,1.3504018622704283e-63
1888,11.25,127.25,9.495614588257185e-28,12,-0.006784416307668434,5.489094571069018e-09,6.80976230865976e-05,12,0.44939710972029623,9.363655332652706e-66
1889,11.25,127.5,1.3877333453627974e-27,12,-0.004804291635009922,6.5970790437683205e-09,6.278187076791104e-05,12,0.4529180140660479,4.7546287952096215e-67
1890,11.0,116.5,7.886434753348397e-18,12,0.07600818268925119,2.5201988713758845e-16,0.004382620946942632,12,0.20078692298382741,2.141866540487635e-28
1891,11.0,116.75,7.582722405892562e-18,12,0.06848755910761778,2.7266006421998203e-15,0.004845826755499489,12,0.1948367892107743,9.66818523371801e-27
1892,11.0,117.0,1.4590853721195194e-17,12,0.06171918880605187,1.9396112055802374e-14,0.004963593161701576,12,0.18533307520624423,2.821179526552203e-25
1893,11.0,117.25,1.4544653338521128e-17,12,0.054606809853535526,2.7097949164869854e-13,0.005551678236220777,12,0.1801046519389795,1.947633292365588e-23
1894,11.0,117.5,2.358794623580938e-17,12,0.04471064360602753,2.15452275876842e-12,0.00577747443559178,12,0.16993281199884525,6.933549887169225e-22
1895,11.0,117.75,3.2776431653682005e-17,12,0.03236214174419105,3.157345254479375e-11,0.006260918762409357,12,0.15935747177370466,5.928340611049997e-20
1896,11.0,118.0,2.0590828643159573e-17,12,0.01812276248063041,2.2451048714093355e-10,0.029122766679123665,12,0.15315648728076803,1.5103613768102825e-18
1897,11.0,118.25,1.6895400682772987e-17,12,0.0021546416631157417,1.733863408247588e-09,0.028060757594899212,12,0.14475703377354898,5.647806348485093e-17
1898,11.0,118.5,6.326863582140955e-18,12,-0.01357077848135968,6.556023851134932e-09,0.02588768101715989,12,0.14252547643793223,4.1448690051664386e-16
1899,11.0,118.75,3.8291956105539196e-18,12,-0.02868768629802801,1.843553848115444e-08,0.023956433905765462,12,0.13675915405568717,2.6131532088487148e-15
1900,11.0,119.0,8.938820395622764e-19,12,-0.04071314297449882,3.14712364311827e-08,0.022273368636349416,12,0.14037497694061782,1.4295046083418386e-15
1901,11.0,119.25,1.779128448702151e-19,12,-0.041226825206844286,2.6494818936254784e-08,0.023708872552295413,12,0.15295866893812454,6.364001062475408e-17
1902,11.0,119.5,8.966497053477096e-25,12,0.00022895271695724806,1.7767572767272333e-07,0.02261823328705223,12,0.3263357704795035,1.6634844301295032e-36
1903,11.0,119.75,5.5538014770790685e-28,12,0.07427424129498211,3.0784427278644556e-10,0.021806792514618867,12,0.46982598527797714,1.3539975313514758e-67
1904,11.0,120.0,7.606518537370263e-29,12,0.10411907814472582,8.081122533325993e-12,0.028983412097882362,12,0.5009538622619548,1.711201106619783e-74
1905,11.0,120.25,9.337869474694458e-29,12,0.12063210146327635,2.3201379148055227e-12,0.006114437257329381,12,0.5005735490327131,8.806172037424787e-73
1906,11.0,120.5,1.2008699657589084e-28,12,0.14695048771627095,1.9296657543884744e-13,0.006502428899484575,12,0.5168942052145615,9.365865471309365e-77
1907,11.0,120.75,1.6664360735412137e-13,12,0.16298953296959956,5.3164675086687996e-14,0.007431220467369634,12,0.5140639181914609,9.906520760555058e-75
1908,11.0,121.0,3.924811333720731e-13,12,0.1792974271247049,1.21126486347261e-14,0.007751147608027548,12,0.5100571376528918,1.0255127353615723e-72
1909,11.0,121.25,1.2192288885404517e-12,12,0.18242298998996292,5.318019609439444e-15,0.022577490523007147,12,0.4825291181911588,4.654087480389333e-64
1910,11.0,121.5,9.659769488790371e-05,12,0.16621042436826522,7.561248804193624e-16,0.017327632939906662,12,0.4175464207959963,1.0860734079707698e-48
1911,11.0,121.75,5.503250128579087e-20,12,0.13698354793949263,8.363594511238428e-20,0.010475911559246388,12,0.28051602797804576,7.21009485923199e-34
1912,11.0,122.0,5.2224220988333894e-05,12,0.12230119633041718,2.8450462200337777e-19,0.006214593103617681,12,0.28750025168235105,3.0135879150956833e-34
