Route_Name,Franchise_Count,Authorized_Units
Marikina(TP) - Paenaan via Marcos Hi-way,244,265
"Marikina(TP) - Paenaan,Antipolo",2,2
Marikina-Montalban via Burgos DaangBakal,3,3
Meycauayan - Bignay via Punturin,20,20
Meycauayan - Monumento via Expressway,66,72
Meycauayan - Monumento via McArthurHiway,89,111
Meycauayan - Punturin (Valenzuela),11,12
Molino(SM)Bacoor cvt-Alabang MntnlpviaSM,2,61
Molino-Soldiers Hills via Marcos Alvarez,5,7
Montalban - Marikina,3,3
Montalban - San Mateo both in Rizal,1,1
"Montalban-SnMateo,LRT,MknaRivrbanksviaMH",1,1
Montalbn-Mrkna-LRT Sntlan Stn/RverbnkTer,4,4
Monumento - Paco (Obando) via Dagohoy,5,5
Monumento - Paco(Obando) via MHDel Pilar,126,132
Monumento - Polo via Acacia MH Del Pilar,8,8
Monumento - St Francis via Bustamante,7,9
Monumento - Sta Maria via Expressway,92,118
Monumento - Sta Maria via McArthur Hiway,218,238
MONUMENTO - STA MARIA VIA NLEX,3,3
Monumento - StFrancis viaExpwayStMichael,119,129
Monumento - Sto NiNo via Expressway,183,186
Monumento - Tabing Ilog viaStFrancis/Mic,12,12
"Monumento-Marilao viaNLEX,StMichael,Lias",3,4
Monumento-Paco(Obdo)viaMHPilar viaDaghoy,9,9
Monumento-Paco(Obdo)viaMHPilar viaNavrte,2,2
Monumento-Prenza(Marilao)viaMcArthurHway,8,8
Monumento-Sto NiNo Meycauayan via 5th St,1,1
Norzagaray(Pob)-SM Fairview via Quirino,63,146
Novaliches - Palmera (SJDM),168,231
Novaliches-Sapang Palay via Quirino Hway,21,101
"Pabahay 2000 (Muzon, SJDM) - SM Fairview",3,3
PabahayniErap(Ksiglahan)-Btasan/ComnwMar,2,2
PabahayniErap(RodriguezRzal)-BtasanComnw,19,67
PabahayniErap(Sub-urban)-CommonwealthMkt,46,51
"Pacita Complex(SPedro,Lag)-Sucat(P'que)",35,36
Pacita Complex-Sucat via SLExp Serv.Rd,1,1
Padilla/Cogeo-Cubao via Marcos Highway,1,1
Pasig (TP) - Taytay via Sixto Antonio,6,7
