,lat,lon,mean_wv,ema_1,ema_7,ema_6,ema_5,prophet,lstm_relu,lstm_tanh,ema_1_rmse,ema_7_rmse,ema_6_rmse,ema_5_rmse,prophet_rmse,lstm_relu_rmse,lstm_tanh_rmse
2234,16.25,123.75,5.426524732525036,9.499130666889782,10.726488012793226,11.181548503429319,11.62928926976901,7.8835460347707915,5.085909982522328,4.957820212503038,4.643446299416702,5.702815902003567,6.125559443055449,6.5489966389908725,2.946408780491825,1.0273287548491312,0.9639850483968458
2235,16.25,124.0,5.427569525707437,9.336550778782334,10.614862167577362,11.084916608442546,11.547110273528554,8.757142781503985,5.387750864028931,5.078980019755497,4.5076794099694295,5.605210557443982,6.0409857131792375,6.477646539561378,3.7296184950117484,0.8926446121901176,0.9435866381452928
2236,16.25,124.25,5.449196442294071,9.282295686315756,10.599283048968584,11.080391758924401,11.552752409725121,7.547523945620281,5.255198578039805,5.054069365464481,4.445482214518618,5.574742285211067,6.020895654442526,6.467604296272695,2.7039214996436325,0.9912871832383428,0.9868477875091467
2237,16.25,124.5,5.448720803057579,9.187653318307403,10.542473522925553,11.034557204202876,11.51708148338597,6.7964597024767075,5.411927819252014,5.167721746084166,4.364219657316171,5.526792206093119,5.9834600911817954,6.440218572927768,2.198487029457938,0.90871520575718,0.9336898118730163
2238,16.25,124.75,5.460115753697782,9.056984826180951,10.443910682939489,10.945496251832298,11.43678634514174,7.0953125821249685,5.518449346224467,5.206235068035863,4.2395285440410735,5.428083626099085,5.893627126684261,6.359003144644987,2.3866734740302618,0.9102744869672528,0.9213534470860226
2239,16.25,125.0,5.451694055544771,8.882785317390798,10.30315343663027,10.815544208132954,11.317443128555537,5.74206473030753,5.696784993012746,5.101002601070005,4.093503008216328,5.306884713591834,5.7825260181626525,6.258531861468389,1.7739008126727718,0.9161447580783597,0.8423975768172197
2240,16.25,125.25,5.450034635386689,8.709968892730974,10.171609774989085,10.69752600640213,11.212803844873065,8.785942234952048,5.58009119828542,5.159153898561598,3.9481752664204333,5.191302713538054,5.679249244295277,6.168274268586441,3.773953042125778,0.9191232391599907,0.66266388189892
2241,16.25,125.5,5.460437022094297,8.519906122699009,10.028606797498758,10.569581240293575,11.099422884429046,8.799946164613365,5.617906192938487,5.305827903357439,3.781791197766164,5.054883007136209,5.555999836995713,6.0588901877587125,3.7752904667662612,0.9081844533834984,0.9193666382622856
2242,16.25,125.75,5.472777429158405,8.346126427369336,9.895706712519265,10.449498994711965,10.991737067159704,6.528724185525758,5.191896359125773,5.395993828694688,3.6326167624544072,4.928342501301239,5.440251576196935,5.95474162414634,1.9851079521872113,1.1415016732624452,0.7441991268557023
2243,16.25,126.0,5.443102891292079,8.129937726029599,9.711041693540738,10.274641916647534,10.82657783391089,5.35957629036055,5.524516403675079,5.281542457970828,3.477889180619694,4.789970858681383,5.310316802280416,5.834224177525927,1.6602574870090538,0.9628536303007453,0.9260972985958508
2244,16.25,126.25,5.450577054678793,8.02434185844273,9.645581221626957,10.219141277643017,10.779562426112564,5.598303076153704,5.497408807277679,5.350307883293166,3.3889790452207134,4.730748549491838,5.260813347685137,5.793848533945772,1.6285309825419239,1.0367967994334975,0.8142068221607812
2245,16.25,126.5,5.423065838733326,7.895010028700234,9.541963780903641,10.121310136885642,10.686379041163853,8.170478174542595,5.5144839485486346,5.277760213298296,3.3042215070593164,4.6661940495543615,5.202478725389228,5.741196128479023,3.2098129498501953,0.9673001146877803,0.8080297435938902
2246,16.25,126.75,5.42256647363896,7.818423672742013,9.491970101054779,10.077333489252938,10.646782714323647,8.165669268581006,5.516439696153005,5.208516102863777,3.2470363836951637,4.628710763923978,5.170994642754827,5.71469302738071,3.1936466585128747,1.0250363905472986,0.7006404614612671
2247,16.25,127.0,5.41220710667123,7.7195290446299,9.416437180295677,10.007481337768908,10.581207323001495,6.943733415469311,5.691056629021962,5.142410975003515,3.19010294847937,4.5812513536860475,5.12797933845192,5.675649632724394,2.1848715760189994,1.0165070584422042,0.7406646328677667
2248,16.25,127.25,5.409937056562117,7.638353032452972,9.358519196837593,9.955440544806137,10.533583374208986,7.199938627594249,5.188205341498057,5.3035683362527966,3.139203483080559,4.541149475260928,5.093140477414061,5.645530608737648,2.3643087246144643,1.0548025710395272,0.788315098954746
2249,16.25,127.5,5.414363104446203,7.556022840404242,9.30514413308165,9.908849766714804,10.491650154133604,8.922048510207588,5.856570243835449,5.171495070684641,3.080802211702805,4.497231188536532,5.055316925792203,5.612677764338836,3.8760638939359215,0.9663436218832918,0.9643270419602241
2250,16.5,116.5,5.9550046771808,11.205015817348595,12.099714332073892,12.538892674743975,13.013686065265077,9.974614681845589,5.997186740239461,5.808620805020464,6.387664234148212,7.145162310822009,7.534427919105231,7.964022303147185,4.372346544353283,1.7366199856237357,1.8028717548877635
2251,16.5,116.75,5.877841186026372,11.314716059859373,12.145722667573965,12.563865423007195,13.017684177948501,10.787503239979864,5.646085639794667,5.966989308815801,6.507256098588049,7.2200231754039175,7.5942270480937415,8.008447442463252,5.169803297257666,1.8921871943256694,1.7626410957951093
2252,16.5,117.0,5.7544422127669135,11.395045550602797,12.139946508169823,12.527920180087543,12.951112888531357,10.853843451095871,5.683606465657552,5.518801697640701,6.632648175009676,7.278797072724756,7.6292474751303,8.018879834785961,5.340623347030614,1.6028878929883206,1.67109301587526
2253,16.5,117.25,5.62483844747603,11.45776282774588,12.114428708897861,12.469676972130515,12.859042402276287,9.912118982926417,5.482472578684489,5.420157185022106,6.75738021705101,7.330906003725215,7.653966263423639,8.014778621267391,4.610947344582995,1.7985594529035087,1.7928787731991698
2254,16.5,117.5,5.481647859412237,11.478859223354656,12.04323671027737,12.365581307932763,12.721535221765551,12.488555258678318,5.02921462059021,5.393806324308677,6.854078333332784,7.34685880856816,7.641371657954117,7.972949900442182,7.139947124468678,2.112460919717708,1.7450074176378425
2255,16.5,117.75,5.3332653602039235,11.549495393272643,12.006597528987621,12.289483847561433,12.605167521436146,12.802208603446033,5.4517132838567095,5.271032495964852,6.998324567574264,7.394671767917365,7.6540255754151465,7.949427517216103,7.585177004416556,1.6865800907204653,1.5377658816197473
2256,16.5,118.0,5.144629935908248,11.500527619672674,11.851083858838114,12.090115467828747,12.359169115749083,13.14929551433051,5.15619573990504,5.198465804635527,7.0627618986898115,7.36321560977734,7.582887265633159,7.835589139450844,8.103322708691643,1.7980495584056457,1.8463716010903048
